Name,Postion,Cost,Points,Predicted Points,Predicted Cost,Cost Diff,Point Diff
De Bruyne,3,115,251,268.0,126.0,11.0,17.0
Salah,3,120,233,211.0,109.0,-11.0,-22.0
Alexander-Arnold,2,75,210,211.0,109.0,34.0,1.0
Aubameyang,3,120,205,197.0,94.0,-26.0,-8.0
Ings,4,85,198,195.0,105.0,20.0,-3.0
Vardy,4,100,210,195.0,93.0,-7.0,-15.0
Jiménez,4,85,194,193.0,96.0,11.0,-1.0
Sterling,3,115,204,193.0,94.0,-21.0,-11.0
Willian,3,80,168,186.0,90.0,10.0,18.0
Mané,3,120,221,186.0,89.0,-31.0,-35.0
Robertson,2,70,181,184.0,75.0,5.0,3.0
Mahrez,3,85,175,181.0,90.0,5.0,6.0
Rashford,3,95,177,177.0,83.0,-12.0,0.0
Firmino,4,95,155,176.0,85.0,-10.0,21.0
Grealish,3,70,149,169.0,80.0,10.0,20.0
Jesus,4,95,146,160.0,93.0,-2.0,14.0
Azpilicueta,2,60,130,157.0,68.0,8.0,27.0
van Dijk,2,65,178,156.0,65.0,-0.0,-22.0
Kane,4,105,158,155.0,84.0,-21.0,-3.0
Martial,4,90,200,154.0,85.0,-5.0,-46.0
Ward-Prowse,3,60,117,154.0,70.0,10.0,37.0
Maddison,3,70,125,153.0,81.0,11.0,28.0
Son,3,90,169,152.0,87.0,-3.0,-17.0
Digne,2,60,120,152.0,69.0,9.0,32.0
Richarlison,4,80,165,151.0,81.0,1.0,-14.0
Moutinho,3,55,113,148.0,68.0,13.0,35.0
Bernardo Silva,3,75,116,146.0,80.0,5.0,30.0
Mount,3,70,137,144.0,74.0,4.0,7.0
Tarkowski,2,55,143,138.0,58.0,3.0,-5.0
Ryan,1,45,135,137.0,56.0,11.0,2.0
Dunk,2,50,128,137.0,59.0,9.0,9.0
Evans,2,55,128,137.0,52.0,-3.0,9.0
Pope,1,55,170,136.0,54.0,-1.0,-34.0
Traoré,3,65,130,136.0,76.0,11.0,6.0
McNeil,3,60,123,135.0,63.0,3.0,12.0
Agüero,4,105,132,134.0,82.0,-23.0,2.0
Abraham,4,75,153,133.0,80.0,5.0,-20.0
Maguire,2,55,123,133.0,55.0,-0.0,10.0
Stevens,2,55,142,132.0,57.0,2.0,-10.0
Aurier,2,55,124,131.0,61.0,6.0,7.0
Tielemans,3,65,117,131.0,66.0,1.0,14.0
Wan-Bissaka,2,55,127,130.0,61.0,6.0,3.0
Söyüncü,2,55,120,130.0,56.0,1.0,10.0
Doherty,2,60,167,128.0,66.0,6.0,-39.0
Dubravka,1,50,143,127.0,48.0,-2.0,-16.0
Rice,3,50,105,125.0,57.0,7.0,20.0
Norwood,3,50,98,125.0,59.0,9.0,27.0
Westwood,3,55,118,125.0,59.0,4.0,7.0
Ramsdale,1,50,126,122.0,46.0,-4.0,-4.0
Maupay,4,65,131,122.0,73.0,8.0,-9.0
Schmeichel,1,55,156,121.0,47.0,-8.0,-35.0
Baldock,2,55,142,120.0,52.0,-3.0,-22.0
Ayew,4,60,132,120.0,66.0,6.0,-12.0
Pereira,2,60,123,120.0,59.0,-1.0,-3.0
Egan,2,50,133,119.0,57.0,7.0,-14.0
Basham,2,50,123,118.0,50.0,-0.0,-5.0
Calvert-Lewin,4,70,126,117.0,70.0,0.0,-9.0
Pulisic,3,85,127,116.0,75.0,-10.0,-11.0
Lundstram,3,55,144,115.0,66.0,11.0,-29.0
Henderson,1,55,160,114.0,44.0,-11.0,-46.0
Henderson,3,55,116,114.0,64.0,9.0,-2.0
Rodrigo,3,55,92,114.0,61.0,6.0,22.0
Alderweireld,2,55,97,114.0,52.0,-3.0,17.0
Patrício,1,55,153,113.0,43.0,-12.0,-40.0
Zaha,3,70,120,113.0,63.0,-7.0,-7.0
Fleck,3,60,101,112.0,63.0,3.0,11.0
Barnes,3,70,133,112.0,72.0,2.0,-21.0
van Aanholt,2,55,109,111.0,56.0,1.0,2.0
Redmond,3,65,107,111.0,62.0,-3.0,4.0
Guaita,1,50,137,110.0,43.0,-7.0,-27.0
Walker,2,60,114,110.0,56.0,-4.0,-4.0
Wood,4,65,136,110.0,70.0,5.0,-26.0
Jorginho,3,50,92,110.0,61.0,11.0,18.0
Lacazette,4,85,118,109.0,72.0,-13.0,-9.0
Jonny,2,55,123,109.0,52.0,-3.0,-14.0
Mee,2,50,110,109.0,52.0,2.0,-1.0
Coady,2,50,118,109.0,44.0,-6.0,-9.0
Jota,3,65,105,109.0,68.0,3.0,4.0
Noble,3,50,105,109.0,59.0,9.0,4.0
O'Connell,2,50,111,108.0,51.0,1.0,-3.0
Pérez,3,65,129,108.0,69.0,4.0,-21.0
Chilwell,2,55,114,108.0,57.0,2.0,-6.0
Neves,3,55,97,107.0,55.0,-0.0,10.0
Shelvey,3,55,105,107.0,64.0,9.0,2.0
Pickford,1,50,117,106.0,41.0,-9.0,-11.0
Sigurdsson,3,70,95,106.0,62.0,-8.0,11.0
Wijnaldum,3,55,107,106.0,55.0,-0.0,-1.0
Lindelöf,2,50,116,106.0,46.0,-4.0,-10.0
Webster,2,45,88,105.0,53.0,8.0,17.0
Ederson,1,60,133,105.0,43.0,-17.0,-28.0
Saïss,2,50,103,104.0,52.0,2.0,1.0
Leno,1,50,114,104.0,49.0,-1.0,-10.0
